"%s was successfully added to your shopping cart.","成功将%s加入购物车。"
"Coupon code ""%s"" is not valid.","优惠券代码""%s""不正确"
"Coupon code was applied successfully.","成功使用优惠券。"
"Coupon code was canceled successfully.","成功取消优惠券代码。"
"Create Billing Address","创建账单地址"
"Create Shipping Address","创建配送地址"
"Customer Address is not valid.","客户地址无效。"
"Data saving problem","保存数据错误"
"Default Billing","默认账单"
"Default Shipping","默认配送"
"Delete Condition","删除条款"
"Details","Details"
"Enable Onepage Checkout","允许一页式结账"
"Disabled","无效"
"Discount Codes","优惠券代码"
"Display Cart Summary","购物车显示"
"Display Shopping Cart Sidebar","显示购物车侧栏"
"Display item quantities","商品数量"
"Display number of items in cart","商品品种的数量"
"Easy access to your order history and status","方便查阅订单记录和状态"
"Edit","修改"
"Edit Address","修改地址"
"Edit Billing Address","修改账单地址"
"Edit Items","修改商品"
"Edit Shipping Address","修改配送地址"
"Edit Terms and Conditions","编辑条款"
"Edit Your Cart","修改购物车"
"Email Address","电子邮件地址"
"Enable Terms and Conditions","启用买家须知"
"Enabled","启用"
"Enter a New Address","输入新的地址"
"Enter your coupon code if you have one.","如果有优惠券代码，请输入。"
"Enter your destination to get a shipping estimate.","输入目的地估计运费。"
"Error while deleting this condition. Please try again later.","删除条款错误，请稍后再试."
"Error while saving this condition. Please try again later.","保存条款错误，请稍后再试."
"Estimate Shipping and Tax","运费及税估价"
"Excl. Tax","不含税"
"Fast and easy check out","快速简易结帐"
"Fax","传真"
"Forgot an Item?","忘记商品了？"
"Forgot your password?","忘记密码？"
"Get a Quote","询价"
"Grand Total:","总计："
"Grouped Product Image","组合商品的图片"
"ID","ID"
"Incl. Tax","含税"
"Invalid data","数据不正确"
"Invalid email address ""%s""","邮件地址不正确 ""%s"""
"Invalid shipping method.","配送方式不正确。"
"Items","件商品"
"Load customer quote error","加载客户询价错误"
"Loading next step...","加载下一步..."
"Login","登录"
"Manage Checkout Terms and Conditions","管理结账条款"
"Maximum display Recently added item(s)","最近增加产品最大显示数"
"Maximum qty allowed for Shipping to multiple addresses is %s","允许的发货地址数量为%s"
"Move to Wishlist","移到收藏"
"My Cart","我的购物车"
"My Cart (%s item)","我的购物车(%s件商品)"
"There is <a href='%s'>1 item</a> in your cart.","总共<a href='%s'><strong>1 件商品</strong></a> 在购物车里"
"There are <a href='%s'>%s items</a> in your cart.","总共 <a href='%s'><strong>%s 件商品</strong></a> 在购物车里"
"My Cart (%s items)","我的购物车(%s件商品)"
"My Cart Link","我的购物车"
"New Address","新的地址"
"New Condition","新条款"
"Order #","订单 #"
"Order Review","查看订单"
"Order Success","订单成功"
"Other items in your order","您订购的其他产品"
"Password","密码"
"Payment Failed Email Reciever","支付失败接受人"
"Payment Failed Email Sender","支付失败发件人"
"Payment Failed Emails","支付失败邮件"
"Payment Failed Template","支付失败邮件模板"
"Payment Information","支付信息"
"Payment Method","支付方式"
"Payment method is not defined","支付方式为定义"
"Place Order","下订单"
"Please <a href=""%s"">continue shopping</a>.","请<a href=""%s"">继续购物</a>。"
"Please agree to all Terms and Conditions before placing the order.","请同意买家须知后再下订单."
"Please agree to all Terms and Conditions before placing the orders.","请同意买家须知后再下订单."
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编，例如 90602 或 90602-1234"
"Please log in below:","请在下面登录："
"Please select region, state or province","请选择省份或地区"
"Please select shipping address for applicable items","相关的产品请选择您要配送的地址"
"Please select shipping methods for all addresses","请选择所有地址的配送方式"
"Price","价格"
"Proceed to Checkout","去结算"
"Product","商品"
"Product Name","商品名称"
"Product does not exist","商品不存在"
"Qty","数量"
"Quote Lifetime (days)","报价有效期 (天)"
"Recently added item(s)","新增商品"
"Register","注册"
"Register and save time!","注册节省时间！"
"Register to Create an Account","注册帐户"
"Register with us for future convenience:","注册以便将来："
"Remove","删除"
"Remove Item","删除商品"
"Remove Product","删除商品"
"Remove item","删除记录"
"Review Order","查看订单"
"Review Order - %s","查看订单 - %s"
"Sales","销售"
"Save Condition","保存条款"
"Save in address book","保存到地址簿"
"Select Address","选择地址"
"Select Addresses","选择地址"
"Select Shipping Method","选择配送方式"
"Select State/Province...","选择省份..."
"Select a billing address from your address book or enter a new address.","从您的地址簿中选择账单地址，或者输入新的地址。"
"Select a shipping address from your address book or enter a new address.","从您的地址簿中选择送货地址，或者输入新的地址。"
"Send Payment Failed Email Copy Method","支付失败邮件副本发送方式"
"Send Payment Failed Email Copy To","抄送支付失败邮件到"
"Send to","收货人"
"Ship to Multiple Addresses","发货到多个地址"
"Ship to different address","发货到不同地址"
"Ship to this address","发货到该地址"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shipping Methods","配送方式"
"Shipping method has not been selected yet","还未选择配送方式"
"Shipping selection is not applicable","送货选择不可用"
"Shipping to","发货地址"
"Shopping Cart","购物车"
"Shopping Cart Sidebar","购物车侧栏设置"
"Shopping Cart is Empty","购物车空"
"Show Content as","内容显示格式"
"Some of the products you requested are not available in the desired quantity","您订购的某些商品数量不足"
"Some of the products you requested are unavailable","您订购的某些商品没有存货"
"Sorry, Onepage Checkout is disabled.","对不起，单页结帐已禁用。"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","对不起，未启用访客结帐功能。请重试或者联系店主。"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"State/Province","省份"
"Status","状态"
"Store View","商店视图"
"Street Address","地址"
"Street Address ","地址 "
"Submitting order information...","提交订单信息..."
"Subtotal","小计（元）"
"Telephone","电话"
"Terms and Conditions","条款"
"Terms and Conditions Information","条款信息"
"Terms and conditions","条款与条件"
"Text","纯文本"
"Thank you for your purchase!","感谢您的惠顾！"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","您的购物车中有<a href=""%s""><strong>%s件产品</strong></a>。"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","购物车中有<a href=""%s""><strong>1件产品</strong></a>。"
"There is already a customer registered using this email address","已有客户注册了这个邮件地址"
"There was an error processing your order. Please contact us or try again later.","处理订单出错，请联系我们或稍后再试。"
"There is","您的购物车有"
"There are","您的购物车有"
"items","个商品"
" in your cart."," 件商品"
"This condition no longer exists","This condition no longer exists"
"Total","合计"
"Total for this address","该地址总计"
"Unit Price","单价（元）"
"Update Qty &amp; Addresses","更新数量和地址"
"Update Shopping Cart","更新购物车"
"Update Total","更新总额"
"Use Billing Address","使用账单地址"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我们正处理您的订单，您很快会收到含有订单详细内容的邮件。订单发货后，您会收到另一封含有查询订单状态链接的邮件。"
"You have no items in your shopping cart.","您的购物车中没有商品。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您会收到订单确认邮件，包含详细的订单内容以及查询订单状态的链接。"
"Your Checkout Progress","您的结帐步骤"
"Your order # is: %s.","您的订单号是：%s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","您的订单已收到"
"Your order number is ","您的订单号是"
"Zip/Postal Code","邮编"
"Separate by ,.","以半角逗号间隔"
"Maximum Display Recently Added Item(s)","最大允许显示商品数"
"Send Payment Failed Email Copy Method","抄送支付失败邮件方法"
"Enable Terms and Conditions","启用买家须知"
"Show Content as","显示内容"
"There are ","您的购物车中有 "
"There is ","您的购物车中有 "
"item",""
"items",""
"in your cart."," 商品"
"Check / Money order","支票/现金"
"I need invoice title","我需要发票抬头"
"images/btn_proceed_to_checkout.gif","images/btn_proceed_to_checkout-cn.gif"
"images/btn_place_order.gif","images/btn_place_order-cn.gif"
"Login","登录"
"images/nub.png","images/nub1.png"
"","结账"
"Note Size","尺寸说明"
"gif-0568.jpg","gif-0568.gif"
"Home","首页"
"images/contant.jpg","images/contantcn.jpg"
"images/9_online.gif","images/9_onlineen.gif"
"RMB","元"
"Check/Money order ","支票/邮政汇款"
"Review by:","评论人："
"Username:","用户名："
"Please fill in your e-mail address registered for use","请填写您注册使用的邮箱地址"
"Country:","国家："
"State/Province:","省份："
"City:","城市："
"Last Name：","姓名："
"Please complete your shipping information so we can delivere quickly and accurately your goods","请完善您的送货信息，以便我们准确快速的将您要的商品送达"
"Email Address:","电子邮件："
"Password:","密&nbsp;&nbsp;&nbsp;&nbsp;码："
"Confirm Password:","确认密码："
"Address：","地址："
"Zip/Postal Code：","邮政编码："
"Telephone：","联系电话："
"Address:","地址："
"Old User Login","老用户登录"
"Count Total:","商品数量总计："
"Member Discount:","会员折扣："
"Total Price(not include shiping fee)","商品金额总价(不含运费)："
"Picture","图片"
"Shipping Fee：","运费（元）："
"Password length can not less than six!","密码不能小于六位！"
"Your order # is:","您的订单号是："
"Please select city","请选择城市"
"Please select district","请选择区县"
