"# of Use","使用次数"
"%s Item(s)","%s件商品"
"(Copy data from: %s)","(复制数据自: %s)"
"Check items to add to the cart or ","点击商品加入购物车或"
"Choose an Option...","选择选项..."
"Choose option...","选择选项..."
"Clear All","删除所有条件"
"Clear All Items","删除所有商品"
"Close Window","关闭窗口"
"Collapse All","全部叠起"
"Comparable","可比较"
"Comparable on Front-end","可在前台比较"
"Compare Items","比较商品"
"Compare Products","比较商品"
"Compare Products - %d Items","比较商品 - %d件商品"
"Compare Products List","比较商品列表"
"Compare list successfully cleared","成功删除比较列表"
"Conditions Combination","条件组合"
"Configurable Product","可设置商品"
"Configurable Product Settings","可设置商品的设置"
"Continue","继续"
"Copy From Configurable","从可设置复制"
"Country/State","国家/地区"
"Create","创建"
"Create (Upload)","创建 (更新)"
"Create Empty","创建空"
"Create Product Settings","商品基本信息选择"
"Create Simple Associated Product","创建简单相关商品"
"Create new category","创建新类"
"Create new product","创建新的商品"
"Create Permanent Redirect for old URLs if Url key changed","如果Url关键字改变,旧Url能够重定向"
"Cross-sells","交叉销售"
"Currently Shopping By","当前筛选"
"Custom Design","定制设计"
"Custom Options","自定义选项"
"Customer Group","会员分组"
"Customers Reviews","客户评论"
"Customers Tagged Product","客户标签商品"
"Customers for alert %s was successfuly added to queue","成功添加提醒%s的客户到队列"
"Data Type for Saving in Database","保存在数据库的日期类型"
"Date","日期"
"Date & Time Custom Options","日期与时间定制项目"
"Date Subscribed","订阅日期"
"Date fields order","日期字段排序"
"Date Fields Order","日期字段排序"
"Time Format","时间格式"
"Use four-digit year format.","使用四位数年份格式。"
"Datetime","日期"
"Decimal","小数"
"Decimal Number","小数"
"Declare attribute value saving scope","定义属性值保存范围"
"Default Qty","默认数量"
"Default Values","默认值"
"Default price","默认价格"
"Default value","默认值"
"Delete","删除"
"Delete Attribute","删除属性"
"Delete Attribute Set","删除属性组合"
"Delete Category","删除分类"
"Delete Option","删除选项"
"Delete Row","Delete Row"
"Delete Search","删除搜索"
"Delete Selected Group","删除所选组"
"Delete category","删除类别"
"Delete product","删除商品"
"Depends on design theme","依赖设计主题"
"Design","设计"
"Disabled","下架"
"Display in Suggested Terms","在建议关键词中显示"
"Double click on a group to rename it","双击组改名"
"Double click on above image to view full picture","双击上述图像查看完整图片"
"Dropdown","下拉菜单"
"Duplicate","复制"
"Duplicate website tier price customer group and quantity.","复制网站价格客户组和数量。"
"Duplicate website, country and state tax found.","复制网站，国家和地区税率。"
"Duplicate website, country and state tax found.","复制网站，国家和省份税率."
"Edit","修改"
"Edit Attribute Set '%s'","修改属性组合'%s'"
"Edit Product Attribute","修改商品属性"
"Edit Product Attribute ""%s""","修改商品属性""%s"""
"Edit Search","修改搜索"
"Edit Search '%s'","修改搜索'%s'"
"Email","电子邮件"
"Email template is not specified by administrator","管理员没有指定邮件模板"
"Email to %s was not sent","发给 %s 的邮件没有发出"
"Email to a Friend","发邮件给朋友"
"Empty","空"
"Enabled","上架"
"Error during retrieval of option value: %s","读取选项值时出错：%s"
"Error while adding customers for %s alert. Message: %s","添加%s提醒的客户时出错。信息：%s"
"Error while saving this group. Group with the same name already exists.","保存该组时出错，同名组已存在。"
"Error while saving this group. Please try again later.","保存该组时出错，请稍后再试。"
"Excl. Tax:","Excl. Tax:"
"Exclude","不含"
"Failed","失败"
"Failed to move file: %s","无法移动文件：%s"
"Feature Products","推荐商品"
"File Extension","File Extension"
"File upload failed","上传文件失败"
"Filter model name must be declared","请定义条件的型号名称"
"Filter must be as object. Set correct filter please","条件必须为对象，请修改条件"
"Filterable (no results)","有条件 (不含结果)"
"Filterable (with results)","有条件 (含结果)"
"Filters must be as array","条件必须为数组"
"First Name","名字"
"Fixed","固定"
"Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module.","平面目录模块受限于 %2\$d 可筛选或可索引的属性. 当前有 %1\$d. 请减少筛选项目数量，或者索引属性以便于使用本模块."
"For internal use. Must be unique with no spaces","内部使用，必须唯一且不含空格"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","前台商品排列布局"
"Frontend Model","前台型号"
"Frontend Properties","前台属性"
"Gallery","图册"
"General Information","基本信息"
"Get special price","获得特别价格"
"Global","全站"
"Globally Editable","可全站修改"
"Go to Home Page","转到首页"
"Grid","多栏"
"Grouped Product","组合商品"
"Groups","组"
"Home","首页"
"ID","编号"
"ID: %s","编号: %s"
"If you do not specify an option value for a store then the default value will be used.","如果您未给商店指定选项值，将使用默认值。"
"Image","图片"
"Image content is not valid base64 data.","无效的图片."
"Image file not found","图片文件没找到"
"Image not exists","图片不存在"
"Image not specified.","未指定图像."
"Image type and information need to be specified for each store view.","每个商店界面要输入图片类型和信息。"
"In Stock","有库存"
"In stock","有库存"
"In stock.","有库存。"
"Index product and categories URL rewrites","索引产品和分类的URL重写"
"Incl. Tax","含税"
"Incl. Tax:","含税:"
"Input Type","输入类型"
"Input Validation for Store Owner","输入格式"
"Integer","整数"
"Integer Number","整数"
"Invalid Tier Prices","无效价格"
"Invalid attribute %s","无效属性 %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性%s (%s)的属性选项不正确，忽略该记录"
"Invalid attribute set specified, skipping the record","属性组合不正确，忽略该记录"
"Invalid block: %s","方框不正确：%s"
"Invalid category","错误的分类"
"Invalid category IDs","分类编号不正确"
"Invalid image file type","图片文件类型不正确"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的选项编号不正确，忽略该记录"
"Invalid product type specified, skipping the record","商品类型不正确，忽略该记录"
"Invalid tier prices. Product is not associated to the requested website.","无效双重价格。产品与请求网站无关."
"Invalid transactional email code","无效的电子邮件传输代码"
"Invalid store specified","指定的商店不正确"
"Invalid store specified, skipping the record","商店不正确，忽略该记录"
"Inventory","库存"
"Is Default","是默认"
"Is Required","是必须"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜索结果中的商品， 相应商店中的状态要设置为'禁用'。"
"Label","标签"
"Last Name","姓氏"
"Last Notification","最近提醒"
"Learn More","了解更多"
"Length of text is too long","长度的文字过长"
"Letters","字母"
"Letters(a-zA-Z) or Numbers(0-9)","字母(a-zA-Z)或数字(0-9)"
"Line %d, Email: %s","行%d，电子邮件：%s"
"Line %d, SKU: %s","行%d，SKU: %s"
"Link (Related, Up sell, Cross sell)","链接（相关，比销售，交叉销售）"
"Link product not exists.","连结商品不存在."
"List","单栏"
"List Mode","商品排列模式"
"Manage Attribute Sets","管理属性组合"
"Manage Attributes","管理属性"
"Manage Catalog Categories","管理目录分类"
"Manage Categories","管理分类"
"Manage Label / Options","管理标签/选项"
"Manage Options (values of your attribute)","管理选项 (属性值)"
"Manage Product Attributes","管理商品属性"
"Manage Product Sets","管理商品组合"
"Manage Products","管理商品"
"Manage Stock","管理库存"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、颜色等。)"
"Max Characters","最长字符"
"Maximal Depth","最大深度"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最多商品数量"
"Maximum image height","最大图片高度"
"Maximum image width","最大图片宽度"
"Maximum number of characters:","最大字符数："
"Media Image","媒体图片"
"Minimum Lines Per Page","每页最小行数"
"Minimum Qty Allowed in Shopping Cart","购物车中必须的最少商品数量"
"Minimum Qty for Item\'s Status to be Out of Stock","商品缺货状态的最低数量"
"Missing SKU, skipping the record","缺少 SKU，忽略该记录"
"More Views","更多"
"Move","移动"
"Move category in tree","Move category in tree"
"Multiple Select","多选"
"Name","名称"
"Name In %s","%s中名称"
"Name<br/>(For internal use)","名称<br/>(内部使用)"
"New Category","新分类"
"New Product","增加新商品"
"New Product Attribute","新商品属性"
"New Products","本周特价"
"New Search","新搜索"
"Last Products","最新商品"
"New Set Name","新组合名称"
"Next","下一个"
"No","否"
"No image","没有图片"
"No layout updates","没有版面更新"
"No layout updates.","没有版面更新"
"No options of this product are available.","没有该商品的选项可用。"
"No product collections found","没有找到商品组合"
"None","无"
"Not shared with other products","没有与其它商品共享"
"Notify Low Stock RSS","低库存提醒的RSS"
"Notify for Quantity Below","提醒数量低于"
"Not Visible Individually","不可见"
"Nowhere","不可见"
"Number of Uses","使用次数"
"Number of results<br/>(For the last time placed)","结果数量<br/>(最后一次)"
"OR","或"
"Old Price:","商城价："
"Option validation failed to add product to cart","将所购产品添加至购物车时失败"
"Option:","选项："
"Options Control","选项控制"
"Options is required","必填选项"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Our customer service is available 24/7. Call us at (800) DEMO-NUMBER."
"Out of Stock","缺货"
"Out of stock","缺货"
"Out of stock.","缺货。"
"Page Title Separator","页面标题分隔符"
"Page:","页："
"Parent Category","上层分类"
"Pending","等待"
"Pending Reviews RSS","待审评论的RSS"
"Percentage","百分比"
"Please add rows to option.","请添加行选项。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","请谨慎操作，一旦您点击此行，选定文件的包数据将被导入，所有未保存的表单将会丢失。"
"Please click on Close Window button if it won\'t be closed automatically","如果窗口没有自动关闭，点关闭按钮"
"Please enter a new group name","请输入新组名"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","请选择产品"
"Please select one or more attributes.","请选择一个以上属性。"
"Please select product(s)","请选择商品"
"Please select products for attributes update","请选择商品更新属性"
"Please select a static block ...","请选择固定方框 ..."
"Please set up merge date/time","请设置合并日期/时间"
"Please set up merge date/time later then present date","请先设置合并日期/时间，然后再设置当前日期"
"Please specify date required option(s)","请指定日期必选项目"
"Please specify the product option(s)","请指定产品选项"
"Please specify the product's option(s).","请指定产品选项"
"Please specify the product required option(s)","请指定产品必选项"
"Please specify the product(s) quantity","请指定产品数量"
"Please specify time required option(s)","请指定时间必选项"
"Please, use four-digit year format","请使用四位数年份格式"
"Position","位置"
"Position In Layered Navigation","渐进式导航中位置"
"Position of attribute in layered navigation block","渐进式导航方框中的属性位置"
"Prev","上一张"
"Previous","上一个"
"Price","价格"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","请在系统基准货币中输入选项价格。"
"Price:","价格："
"Print This Page","打印该页"
"Problem saving the collection, aborting. Error: %s","保存组合时出错，退出。错误：%s"
"Product","商品"
"Product %s successfully added to compare list","成功增加商品%s到比较列表"
"Product %s successfully removed from compare list","成功从比较列表中删除商品%s"
"Product API","Product API"
"Product Alerts","商品提醒"
"Product Attribute","商品属性"
"Product Categories","商品分类"
"Product Description","产品描述"
"Product Image Placeholders","商品默认图片"
"Product Image Watermarks","商品图像水印"
"Product Images","商品图片"
"Product Images API","Product Images API"
"Product In Websites","商品网站"
"Product Info Column","产品信息栏"
"Product Information","商品信息"
"Product Name","洗牌名称"
"Product Reviews","商品评论"
"Product Tags","商品标签"
"Product Tier Price API","Product Tier Price API"
"Product Type","商品类型"
"Product URL Suffix","商品URL后缀名"
"Product attribute sets API","Product attribute sets API"
"The product attribute has been deleted.","成功删除商品属性"
"The product attribute has been saved.","成功保存商品属性"
"Product attributes API","Product attributes API"
"Product collection expected","需要商品组合"
"The product has been deleted.","商品已删除"
"Product duplicated","商品复制"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product saving error.","保存商品出错。"
"Product types API","Product types API"
"The product has been created.","成功创建商品。"
"Product was successfully saved.","成功保存商品"
"Product with this combination of attributes already associated to configurable.","该属性组合的商品已与配置关联。"
"Products","商品"
"Products Information","商品信息"
"Products Reviews","商品评论"
"Products Sitemap","商品地图"
"Products only","仅限商品"
"Products per Page on Grid Default Value","每页默认显示商品数量"
"Products per Page on List Default Value","每页默认显示商品数量"
"Properties","属性"
"Qty","数&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;量"
"Qty Uses Decimals","数量用十进制"
"Qty for Item\'s Status to become Out of Stock","此数量时将产品状态设置为库存不足"
"Quick Create","快速创建"
"Quick Overview","综述介绍"
"Quick simple product creation","快速创建简单商品"
"Records for ""","记录"""
"Redirect","重定向"
"Redirect URL","重定向URL网址"
"Regular Price:","商城价："
"Related Products","相关商品"
"Remove","删除"
"Remove Product","删除商品"
"Remove Product From Websites","从网站删除商品"
"Remove This Item","删除该条件"
"Remove product assignment","Remove product assignment"
"Remove product image","删除商品图片"
"Remove product link","删除商品连接"
"Required","必填"
"Reset","重置"
"Results","结果"
"Retrieve attribute list","检索属性列表"
"Retrieve attribute options","检索属性列项"
"Retrieve category attributes","检索分类属性"
"Retrieve category data","检索分类数据"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","检索商品"
"Retrieve product attribute sets","检索商品属性集"
"Retrieve product image","检索商品形象"
"Retrieve product image list","检索商品图片列表"
"Retrieve product image types","检索商品的图像类型"
"Retrieve product link type attributes","检索商品链接类型属性"
"Retrieve product link types","检索商品链接类型"
"Retrieve product tier prices","检索商品级的价格"
"Retrieve product types","检索商品类型"
"Retrieve products data","获取产品数据"
"Retrieve products list by filters","检索商品名单过滤器"
"Review successfully deleted","成功删除评论"
"The review has been saved.","成功保存评论"
"Reviews","评论"
"Roll Over for preview","总评"
"Products per Page on Grid Allowed Values","每页多栏商品显示数量"
"Products per Page on List Allowed Values","每页列表商品显示数量"
"Root","根"
"SKU","商品编码"
"Save","保存"
"Save And Continue Edit","保存并继续修改"
"Save Attribute","保存属性"
"Save Attribute Set","保存属性组合"
"Save Category","保存分类"
"Save Search","保存搜索"
"Saved ","保存 "
"Scope","适用范围"
"Search","搜索"
"Search Engine Optimizations","搜索引擎优化"
"Search Information","搜索信息"
"Search Query","关键词搜索"
"Search Term was successfully saved","成功保存搜索关键词"
"Search Term with such search query already exists.","搜索关键词已存在。"
"Search was successfully deleted","成功删除搜索"
"Searchable","可搜索"
"Select Configurable Attributes ","选择可设置属性"
"Select type of option","选择类型"
"Select type options required values rows.","选择类型选项需指定选项值数组"
"Selected Product Types","选择商品类型"
"Send Count","发送计算"
"Set Ascending Direction","设置升序说明"
"Set Descending Direction","设置降序说明"
"Set Name","组合名称"
"Set Root Category For Store","给商店设置根分类"
"Set root category for this store in the <a href=""%s"">configuration</a>","在<a href=""%s"">设置</a>中给该商店设置根分类"
"Set special price","设置特殊价格"
"Set/Get current store view","设置/获取当前储存期"
"Settings","设置"
"Shop by","购物"
"Shopping Options","商品筛选"
"Show","显示"
"Show Details","查看详情"
"Show Tags","Show Tags"
"Simple Product","简单商品"
"Site Map","网站地图"
"Sitemap","网站地图"
"Skip import row, is not valid value ""%s"" for field ""%s""","忽略导入行，不是正确的 ""%s"" 在栏目 ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","忽略导入行，新客户的必填栏目""%s""未定义"
"Skip import row, required field ""%s"" for new products not defined","忽略导入行，新商品的必填栏目""%s""未定义"
"Skip import row, required field ""%s"" not defined","忽略导入行，必填栏目""%s""未定义"
"Skip import row, store ""%s"" field not exists","忽略导入行，商店""%s""栏目不存在"
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","下面的某些产品没有选择所有的必填项，请移除后重新添加。"
"Sort Order","排序"
"Sort By","排序方式"
"Source Model","源型号"
"Special Price:","优惠价："
"Starting at:","起价："
"Static","静态固定"
"Static block and products","静态固定方框和商品"
"Static block only","仅静态固定方框"
"Status","上下架"
"Stock Availability","库存情况"
"Store","商店"
"Store View","商店界面"
"Stretch","伸展"
"Subscribe to Feed","订阅 Feed"
"Subscribe to RSS Feed","订阅 RSS Feed"
"Super product attributes configuration","高级商品属性设置"
"Synonym For","同义"
"Synonym for","同义"
"System","系统"
"System Properties","系统属性"
"Tag Name","标签名"
"Tax","税"
"Text","文字"
"Text Area","文字区域"
"Text Field","文字栏目"
"The category has been saved.","分类已保存。"
"The product has been saved.","商品已保存。"
"The attribute set has been saved.","属性组已保存。"
"The product has required options","这个产品有必选选项。"
"The product %s has been added to comparison list.","成功增加产品%s到比较列表"
"The comparison list was cleared.","比较列表已清空"
"The product %s has been removed from comparison list.","%s 已经从比较列表中删除"
"There are no %s available.","没有%s可用。"
"There are no customers for this alert","该提醒没有客户"
"There are no products matching the selection.","没有与选择匹配的商品。"
"There was an error while adding products to websites","增加商品到网站时出错"
"There was an error while cleared compare list","清除比较列表,有一个错误"
"There was an error while removing products from websites","从网站删除商品时出错"
"There was an error while updating product(s) attributes","更新商品属性时出错"
"There was an error while updating product(s) status","更新商品时,有一个错误"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","此属性已用于配置产品上，您不能从属性集中删除它"
"This attribute no longer exists","该属性不存在"
"This group contains system attributes. Please move system attributes to another group and try again.","该组含有系统属性。请将系统属性移到另外一个组后再试。。"
"This group contains system attributes. Please move system attributes to another group and try again.","该属性组包含系统属性。请将系统属性移到另外一个组后再试。"
"This is a required option","此为必选项"
"This search no longer exists","该搜索已不存在"
"Tier Pricing","分级价格"
"Tile","排列"
"Time","时间"
"Title","标题"
"Top/Left","左上"
"Top/Right","右上"
"Total Qty Base Items","Base 记录总数 "
"Total incl. Tax: %1$s","税总额： %1$s"
"Total of %d record(s) have been deleted.","成功删除%d个记录"  
"Total of %d record(s) have been updated.","成功更新%d个记录"
"Type","商品类型"
"URL Rewrite Management","URL重写管理"
"URL rewrite save problem.","URL重写保存有问题."
"Unable to complete request. Please try again later.","无法完成请求，请稍后再试。"
"Unable to find a search term to delete","没有找到要删除的搜索关键词"
"Unable to find an attribute to delete","没有找到要删除的属性"
"Unable to get product id.","无法取得商品编号。"
"Unassigned Attributes","未指定的属性"
"Unique Value","唯一值"
"Unique Value (not shared with other products)","唯一值 (没有与其它商品共享)"
"Unknown attribute: %s","未知属性：%s"
"Up-sells","推荐销售"
"Update","更新"
"Update Attributes","更新属性"
"Update Tier Price","更新分层价格"
"Update assigned product","更新指定商品"
"Update attributes","更新属性"
"Update category","更新分类"
"Update product","更新商品"
"Update product image","更新商品图片"
"Update product link","更新商品链接"
"Update product tier prices","更新商品级的价格"
"Upload new product image ","上传新的商品图片"
"Url","URL网址"
"Url Rewrite Management","URL地址重写管理"
"Use Config Settings","使用全局设置"
"Use Default Value","使用默认值"
"Use Flat Catalog Category","使用平面目录分类"
"Use Flat Catalog Product","使用平面产品"
"Use In Layered Navigation","用于渐进式导航"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用于渐进式导航<br/>(仅用于目录输入类型'下拉菜单')"
"Use In Search Results Layered Navigation","用于分层导航搜索结果"
"Use JavaScript Calendar","使用 JavaScript 日历"
"Use To Create Configurable Product","用于创建可配置商品"
"Use Categories Path for Product URLs","商品网址使用分类路径"
"Use Canonical Link Meta Tag For Categories","分类里,Meta标签作为公认链接"
"Use Canonical Link Meta Tag For Products","商品目录里,Meta标签作为公认链接"
"Use for Price Rule Conditions","使用为价格规则条件"
"Use in advanced search","用于高级搜索"
"Use in quick search","用于快速搜索"
"Used for sorting in product listing","用作产品列表排序"
"Used in product listing","用在产品列表中"
"Values Required","必填项"
"Varchar","变量"
"View as","查看"
"Virtual Product","虚拟商品"
"Visibility","可见性"
"Visible","可见"
"Visible on Catalog Pages on Front-end","在前台目录页面可见"
"Visible on Product View Page on Front-end","前台产品页可见"
"Watermark","水印"
"Watermark Default Size","水印默认大小"
"Watermark Position","水印位置"
"We Also Recommend","我们同时推荐"
"Website","网站"
"Website Item Must be checked","网站项必须选择"
"Website Store Must be checked","网站店铺必须选择"
"Websites","网站"
"Wrong BuyRequest instance in options group","在选项组中错误的购买请求例子"
"Wrong option instance type in options group","在选项组中错误的事例类型"
"Wrong option type to get group instance.","用错误的选项类型获取组实例."
"Wrong product instance type in options group","选项组中错误的产品实例"
"Wrong product type filter specified","过滤指定的错误的产品类型"
"Wrong quote item instance in options group","在选项组中错误的引进项目实例"
"Wrong quote item option instance in options group","在选项级中错误的引用项目选项实例"
"Year Range","年时间范围"
"Yes","是"
"Yes/No","是/否"
"You cannot delete this attribute","无法删除该属性"
"You cannot edit this attribute","无法修改该属性"
"You cannot remove system attribute from this set.","不能从该组合中删除系统属性。"
"You cannot send more than %d emails at a time","您不能一次发达超过 %d 封邮件"
"You cannot update this attribute","无法更新该属性"
"You have no items to compare.","没有要比较的商品。"
"You have to specify at least one recipient","您须指定至少一个收件人"
"You may also be interested in the following product(s)","您也许会喜欢下面的商品"
"Zoom In","放大"
"Zoom Out","缩小"
"[GLOBAL]","[全站]"
"and","和"
"and above","及以上"
"categories","分类"
"Comma-separated.","以半角逗号分隔"
"each","每个"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","如果不是图片请留空"
"Must be in the allowed values list.","必须从允许取值列表中选择"
"per page","每页"
"products","商品"
"save","保存"
"select all","全部选择"
"unselect all","全部取消"
"Add Root Category","添加总分类"
"Add Subcategory","添加子类"
"Collapse All","收起分类"
"Expand All","展开分类"
"Display Settings","显示设置"
"Is Active","是否启用"
"URL key","设置 URL"
"Display Mode","显示模式"
"CMS Block","显示内容选择"
"Available Product Listing Sort By","商品排列方式"
"Product Listing Sort by","商品排列方式"
"Default Product Listing Sort By","商品默认排列方式"
"Active From","开始时间"
"Active To","结束时间"
"Page Layout","页面布局"
"Custom Layout Update","自定义布局更新"
"Category View Optimization","优化分类"
"Google Optimizer Scripts","谷歌优化脚本"
"Conversion Page","转换页"
"Conversion Page URL","转换URL"
"Scripts Install URL","脚本安装URL"
"Control Script","控制脚本"
"Tracking Script","跟踪脚本"
"Conversion Script","转换脚本"
"This category and all its child elements","这一类及其子类"
"This category and its products only","仅这个类"
"This category and its child categories only","这个类和它所有的的子类"
"Color","颜色"
"Short Description","简单描述"
"Weight","重量"
"Manufacturer","制造商"
"Brand","商标"
"Set Product as New from Date","新商品开始时间"
"Set Product as New to Date","新商品结束时间"
"Allow Gift Message","允许礼品讯息"
"Prices","价格"
"Price","价格"
"Meta Information","Meta 信息"
"Special Price","优惠价"
"Special Price From Date","特价开始日期"
"Special Price To Date","特价结束时间"
"Cost","成本"
"Tier Price","级别层次优惠价格"
"Manage Stock","管理库存"
"Qty for Item's Status to become Out of Stock","库存量为多少时商品为缺货"
"Admin","管理后台"
"comma separated","以逗号隔开"
"must be in the allowed values list","必须是上面列表里的一种"
"Cache refresh needed.","需要缓存刷新"
"Use In Search Results Layered Navigation","在搜索结果中使用渐进式导航"
"Depends on design theme","取决于设计主题"
"Used for sorting in product listing","用于产品列表的排序"
"Used in product listing","用于产品列表"
"Visible on Product View Page on Front-end","可见于产品浏览页的前端"
"Allow HTML-tags on Front-end","前端允许使用HTML标签"
"Is Anchor","是否启用渐进搜索导航"
"Is product available for purchase with Google Checkout","产品可否用GOOGLE CHECKOUT 支付"
"Maximum 255 chars","最多255个字符"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如果您未给商店指定选项值，将使用默认值。"
"Base Image","商品相册图"
"Small Image","商品列表页详细图"
"You have <strong>no items</strong> to compare.","您没有要比较的商品"
"Your have  <strong>no items</strong> in your cart","购物车中有<strong>0</strong>件商品"
"Please","请"
"Availability","有库存"
"Are you sure you would like to remove all products from your comparison?","你确定要从比较中移除所有产品？"
"Please select  items","请您选择操作项目"
"Not Approved","不批准"
"Bestseller Products","畅销商品"
"Package List","包装清单"
"Customer Service","售后服务"
