"* Required Fields","* 必填栏目"
"Customer collection expected","需要会员组合"
"Customer doesn't have primary billing address","客户没有首选账单地址"
"Customer email already exists","客户的邮件地址已存在"
"Customer website id must be specified, when using website scope.","使用网站范围时必须指定网站 id."
"Customer will stay on the current page if ""No"" is selected","如果选择"No"，客户将停在当前页"
"Customers","会员管理"
"Customers Only","仅限会员"
"Customers Section","客户单元"
"DD","日"
"Date","日期"
"Date Added","添加日期"
"Date of Birth","生日"
"Date of Birth is required.","必须填写出生日期。"
"Day","日"
"Days in Wishlist","收藏的天数"
"Default Addresses","默认地址"
"Default Billing Address","默认账单地址"
"Default Email Domain","默认邮件域名"
"Default Group","默认分组"
"Default Shipping Address","默认配送地址"
"Default Welcome Email","默认欢迎邮件"
"Delete","删除"
"Delete Address","删除地址"
"Delete Customer","删除客户"
"Delete Customer Group","删除会员分组"
"Delete customer","删除会员"
"Delete customer address","删除会员地址"
"Deleted Stores","删除商店"
"Details","详细"
"Disabled","未激活"
"Distributor","我是分销商"
"Edit","编辑"
"Edit Account Info","Edit Account Info"
"Edit Account Information","编辑帐户信息"
"Edit Address","编辑地址"
"Edit Address Entry","编辑地址"
"Edit Customer Group ""%s""","编辑会员分组""%s"""
"Edit Customer Groups","编辑会员分组"
"Edit Customer's Address","编辑会员地址"
"Edit Group","编辑分组"
"Edit Newsletter Subscription","编辑邮件列表订阅"
"Edit Newsletters","编辑邮件列表"
"Edit Personal Information","编辑个人信息"
"Email","电子邮件"
"Email Address","电子邮件"
"Email Sender","电子邮件发件人"
"Entity collection is expected","需要实体组合"
"Error during retrieval of option value: %s","获取选项值时出错：%s"
"Ext. Price","实际价格"
"Failed to confirm customer account.","确认会员账号失败."
"Fax","传真"
"First Name","姓名"
"First name can\'t be empty","名字不能为空"
"Forgot Email Sender","取回密码邮件的发件人"
"Forgot Email Template","取回密码邮件的模板"
"Forgot Your Password?","忘记密码？"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","在我的帐户管理面板中，可以查看最近帐户情况，以及更新帐户信息。选择下面的链接查看或修改信息。"
"General Subscription","本店快讯"
"Global","全局"
"Go to Address Book","转到地址薄"
"Grand Total","总计"
"Grand Total: %s","总计：%s"
"Group","会员分组"
"Group ""%s"" can not be deleted","分组 ""%s"" 无法删除"
"Group Information","分组信息"
"Group Name","分组名称"
"Guest","客人"
"HTML","HTML"
"Hello, %s!","您好，%s!"
"ID","编号"
"IP Address","IP 地址"
"If you have an account with us, please log in.","已注册用户请从这里登录"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性 %s (%s)的属性选项不正确，忽略该记录"
"Invalid attribute set specified, skipping the record","指定的属性集不正确，忽略该记录"
"Invalid current password","当前密码不正确"
"Invalid customer data","客户数据不正确"
"Invalid email address","电子邮件地址不正确"
"Invalid email address ""%s"".","不正确的电子邮件地址 ""%s"""
"Invalid login or password.","无效的用户名或密码."
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的选项编号不正确，忽略该记录"
"Invalid store specified, skipping the record","指定的商店不正确，忽略该记录"
"Items Order","订购商品"
"Last 5 Orders","最近 5 个订单"
"Last Activity","最近访问"
"Last Name","名字"
"Last URL","最近访问的URL地址"
"Last Viewed Items","最近查看"
"Last date subscribed","最后订阅日期"
"Last date unsubscribed","最后退订日期"
"Last name can\'t be empty","姓氏不能为空"
"Leave empty for default (15 minutes).","留空则使用缺省设置（15分钟）。"
"Leave empty for default (2). Valid range: 1-4","留空则使用缺省值(2)。可用范围：1-4"
"Lifetime Sales","全部销售"
"Log In","用户登录"
"Log Out","安全退出"
"Log in or Create an Account","登录或新建帐户"
"Login","登录"
"Login Information","登录信息"
"Login Options","登陆项目"
"Login and password are required.","需要用户名和密码"
"Login or Create an Account","登录或新建帐号"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","地址管理"
"Manage Customers","管理会员"
"Missing email, skipping the record","缺少电子邮件，忽略该记录"
"Missing firstname, skipping the record","缺少名字，忽略该记录"
"Missing lastname, skipping the record","缺少姓氏，忽略该记录"
"Month","月"
"My Account","我的帐号"
"My Account Dashboard","我的帐户面板"
"My Dashboard","我的帐户中心"
"My Orders","我的订单"
"My Reviews","我的评论"
"My Tags","我的标签"
"My Wishlist","我的收藏"
"Name","姓名"
"Name and Address Options","姓名与地址选项"
"Never","从不"
"New Address","新增地址"
"New Address Entry","增加一个地址"
"New Customer","新会员"
"New Customer Address","新会员地址"
"New Customer Group","新会员分组"
"New Customer Groups","新会员分组"
"New Customers","新会员"
"New Group","新分组"
"New Password","新的密码"
"New account","新的帐户"
"New account confirmation key","新注册帐户认证码"
"New account confirmed","新账户已确认"
"New password","新密码"
"Newsletter","邮件列表"
"Newsletter Finish","邮件列表完成"
"Newsletter Information","邮件列表信息"
"Newsletter Received","收到邮件列表"
"Newsletter Start","邮件列表开始"
"Newsletter Subscription","邮件列表订阅"
"Newsletters","邮件列表"
"No Items Found","没有找到项目"
"No Newsletter Found","没有邮件列表"
"No item specified.","商品没有被指定."
"No product collections found","没有找到商品组合"
"Not Sent","没有发送"
"Not confirmed, can login","未验证，但允许登录"
"Not confirmed, cannot login","未验证，不允许登录"
"Number of Lines in a Street Address ","地址行数"
"Offline","离线"
"Online","在线"
"Online Customers","在线客户"
"Online Customers Options","在线客户选项"
"Online Minutes Interval","在线时间间隔"
"Order #","订单号"
"Order #%s (%s)","订单号%s (%s)"
"Order List...","订单列表..."
"Order Total","订单总额"
"Orders","订单"
"PDF","PDF"
"Password","密码"
"Password Management","密码管理"
"Password Options","密码选项"
"Password can\'t be empty","密码不能为空"
"Password fields can\'t be empty.","密码字段不能为空。"
"Password forgotten","忘记密码"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","密码最少6个字符，前后空格将被忽略。"
"Paused","暂停"
"Payment Method","支付方式"
"Pending","等待中"
"Per Website","独立"
"Personal Information","个人信息"
"Please enter your email below and we\'ll send you a new password.","请在下面输入您的电子邮件，我们会将新的密码发给您。"
"Please enter your email below and we\'ll send you confirmation link for it.","Please enter your email below and we\'ll send you confirmation link for it."
"Please enter your email.","请输入您的电子邮件。"
"Please make sure your passwords match.","请确保密码一致。"
"Please select","请选择"
"Please select region, state or province","请选择地区、省份"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","称谓"
"Prefix Dropdown Options","称谓下拉选项"
"Price","价格"
"Primary Billing Address","首选账单地址"
"Primary Shipping Address","首选配送地址"
"Problem saving the collection, aborting. Error: %s","保存组合出错，退出。错误：%s"
"Product","商品"
"Product ID","商品编号"
"Product Name","商品名称"
"Product Reviews","商品评论"
"Product Tags","商品标签"
"Product name","商品名称"
"Purchase On","购买日期"
"Purchased at","购买时间"
"Qty","数量"
"Recent Orders","最近订单"
"Records for ""","记录"""
"Redirect Customer to Account Dashboard after Logging in","在客户登陆后重定向到账号控制面板"
"Refunded","退款"
"Registered Customers","用户登录"
"Remove","删除"
"Require Emails Confirmation","需要邮件确认"
"Retrieve customer addresses","找回客户地址"
"Retrieve customer data","找回客户数据"
"Retrieve address info","获取地址信息"
"Retrieve customer addresses","获取客户地址"
"Retrieve customer data","获取客户数据"
"Retrieve customer's groups","找回客户分组信息"
"Retrieve customers","找回客户"
"Retrieve your confirmation link here","在这里获取您的确认链接"
"Retrieve your password here","在这里找回密码"
"SKU","商品编码"
"Sales Statistics","销售统计"
"Save","保存"
"Save Address","保存地址"
"Save And Continue Edit","保存并继续编辑"
"Save Customer","保存会员"
"Save Customer Group","保存会员分组"
"Save Password","保存密码"
"Saved ","已保存 "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","多个值使用半角分号(;)分隔.<br/>若第一个选项为空请将分号放在开头。<br />放空则使用输入框。"
"Send From","发自"
"Send Welcome Email after Confirmation","验证成功后发送欢迎邮件"
"Send auto-generated password","发送自动生成的密码"
"Send confirmation link","Send confirmation link"
"Send welcome email","发送欢迎邮件"
"Sending","正在发送"
"Sent","已发出"
"Session Start Time","会话开始时间"
"Set as Default Billing Address","设为默认的账单地址"
"Set as Default Shipping Address","设为默认的配送地址"
"Share Customer Accounts","共享客户帐户"
"Ship to First name","收货人名字"
"Ship to Last name","收货人姓氏"
"Shipped to First Name","收货人名字"
"Shipped to Last Name","收货人姓氏"
"Shipped to Name","收货人姓名"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shopping Cart","购物车"
"Shopping Cart - %d item(s)","购物车 - %d 件商品"
"Show Tax/VAT Number","显示税号/增值税号码"
"Show Date of Birth","显示生日"
"Show Middle Name (initial)","显示中间名"
"Show Prefix","显示称谓"
"Show Suffix","显示后缀"
"Sign Up for Newsletter","登记邮件列表"
"Sign up for our newsletter","输入您的邮件地址"
"Skip import row, required field ""%s"" not defined","忽略导入行，必填栏目 ""%s"" 为定义"
"Skip import row, website ""%s"" field not exists","忽略导入行，网站 ""%s"" 栏不存在"
"State/Province","省份"
"Status","状态"
"Store","商店"
"Store View","商店界面"
"Street Address","地址"
"Street Address ","街道地址 "
"Subject","标题"
"Submit","提交"
"Subscribe","订阅"
"Subscribe to newsletter","订阅邮件列表"
"Subscribed to Newsletter?","订阅邮件列表？"
"Suffix","后缀"
"Suffix Dropdown Options","后缀下拉选项"
"TAX/VAT number is required.","税号/增值税号码不能为空。"
"Tag Name","标签名称"
"Tax Class","税率"
"Tax class","税率"
"Tax/VAT number","税号/增值税号码"
"Telephone","电话"
"Text","文字"
"Text One Line","一行文字"
"Thank you for registering with %s","感谢您注册"
"Thank you for registering with %s.","感谢您注册"
"The address does not belong to this customer","地址不属于该客户"
"The address has been deleted.","成功删除地址"
"The address was successfully saved","成功保存地址"
"The suffix that goes after name (Jr., Sr., etc.)","显示于姓名之后的后缀 (Jr., Sr. 等.)"
"The title that goes before name (Mr., Mrs., etc.)","显示于姓名前的（Mr., Mrs. 等）"
"There are no items in customer's wishlist at the moment","客户的收藏中没有商品"
"There are no items in customer\'s shopping cart at the moment","客户的购物车中没有商品"
"There are no items in customer's shopping cart at the moment","客户的购物车中没有商品"
"There is already an account with this emails address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","这个Email地址已存在，如果你确认这个Email地址是你的，请<a href=""%s"">点击这里</a>找回密码"
"There was an error while deleting the address","删除地址出错"
"This email will be sent instead of default welcome email, after account confirmation.","帐户确认后将发送此邮件（而非缺省欢迎邮件）。"
"This account is not confirmed.","该帐户尚未确认。"
"This customer has no saved addresses.","该客户没有保存地址。"
"This e-mail does not require confirmation.","此电子邮件不需要验证。"
"This email address was not found in our records.","没有找到该电子邮件地址"
"This is My Primary %s Address","这是我的首选%s地址"
"To Cart","到购物车"
"Total","总计"
"Type","类型"
"Unknown","未知"
"Unsubscribe from Newsletter","退订邮件列表"
"Update","更新"
"Update customer address data","更新用户地址数据"
"Update customer data","更新用户数据"
"Use as My Primary %s Address","作为我的首选%s地址"
"Use as my default billing address","作为我的默认账单地址"
"Use as my default shipping address","作为我的默认配送地址"
"User description","用户说明"
"uName","姓名"
"View","查看"
"View Order","查看订单"
"View Order List","查看订单列表"
"Visible In","可见"
"Visitor","访客"
"Visitors Only","仅限访客"
"Website","网站"
"Welcome Email","欢迎邮件"
"Wishlist","收藏"
"Wishlist - %d item(s)","收藏 - %d件商品"
"Wrong confirmation key.","错误的确认码。"
"Wrong customer account specified.","错误的客户帐户。"
"Wrong email.","错误的电子邮件。"
"Wrong region id by selected country","已选国家的地区编号不正确"
"Wrong transactional account email type.","错误的交易帐户电子邮件类型。"
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","您没有订阅邮件列表。"
"You are currently not subscribed to our newsletter","您没有订阅我们的邮件列表"
"You are currently subscribed to 'General Subscription'.","您订阅了“本店快讯”。"
"You are currently subscribed to our newsletter","您订阅了我们的邮件列表"
"You are currently subscribed to our newsletter.","您订阅了我们的邮件列表。"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","您已成功登出，在5秒后将转到首页。"
"You have no additional address entries in your address book.","您的地址簿中没有其它地址项。"
"You have no additional entries in your address book.","您的地址簿中没有其它地址项。"
"You have no default billing address in your address book.","您的地址簿中没有默认的账单地址。"
"You have no default shipping address in your address book.","您的地址簿中没有默认的配送地址。"
"You have no primary entries in your address book.","您的地址簿中没有首选地址。"
"You have logged out and will be redirected to our homepage in 5 seconds.","您已成功登出，在5秒后将转到首页。"
"You have not set a primary billing address.","您没有设置首选账单地址。"
"You have not set a primary shipping address.","您没有设置首选配送地址。"
"You have not set a default billing address.","您没有设置默认账单地址。"
"You have not set a default shipping address.","您没有设置默认配送地址。"
"You have placed no orders yet.","您还没有任何订单。"
"You have placed no products yet.","您还没有订购任何商品。"
"You are now logged out","您已登出"
"Your account balance is: %s","您的帐户余额为：%s"
"ZIP","邮编"
"ZIP/Post Code","邮编"
"ZIP/Postal Code","邮编"
"Zip/Postal Code","邮编"
"n/a","空"
"or","或"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","帐户确认后，此电子邮件将代替默认欢迎邮件发送"
"Customer Group","会员分组"
"Group Switch Rules","客户升级规则"
"All Groups","全部组"
"All Types","全部类型"
"All Order States","全部订单状态"
"Active","激活"
"Save Rule","保存规则"
"New Rule","新规则"
"My Account","我的账户"
"Union Website","网站联盟"
"Official Forum","官方论坛"
"Please enter your email below and we will send you a new password.","请在下面输入您的电子邮件，我们将会发送给您一个新的密码。"
"Newbie Guide","新手指南"
"E-mail registration","邮件注册"
"Freight","运费"
"Pay & services","支付&服务"
"Size Guide","尺寸指南"
"Security","安全保障"
"New User","新用户"
"Login","登录"
"Enable Extension","启用客户升级规则"
"Log in or Create an Account","登录或创建账户"
"广东","Guangdong"
"Password:","密&nbsp;&nbsp;&nbsp;&nbsp;码："
"Please fill in your e-mail address registered for use","请填写您注册使用的邮箱地址"
"Previou","上一页"
"Product Description:","产品描述："
"The following are required:","以下均为必填项："
"Please fill a valid Email address to receive our verification email","请填写有效的E-mail地址，以便接收我们的验证邮件"
"Case letters, numbers, length of 6-12 bits","大小写英文字母、数字，长度6-12位"        
"Your Email Address:","您的E-mail地址："
"Set Password:","设置密码："
"Confirm Password：","再次输入密码："
"You are a new user? Please register","您是新用户？请您注册"
"Redirect Customer to Account Dashboard after Logging in","登录后重定向到会员帐户"
"Customer will stay on the current page if 'No' is selected.","如果选择否，注册的会员将停留在当前页"
"Login Options","登录选项"
"Welcome, %s!","您好，%s!"
"Associate to Website","归属商店"
"Customer will stay on the current page if ""No"" is selected","如果选择No，客户将停在当前页"
"Add new address","增加新的地址"
"Save address","保存地址"
"Tuiguang","我是推广客"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","相同邮箱地址的账户已存在。 如果你确认这是你的邮箱地址, 点击<a href=""%s"">这里</a> 来获取密码。"
"The address has been saved.","地址已成功保存"
"The account information has been saved.","账户信息已成功保存"
"This customer email already exists.","这个邮箱地址已存在"
"cashpoints","现金积分"
"mobilenumber","手机号"
"Middle Name/Initial","中间名字/初始名"
"Tax/VAT Number","Tax/VAT 号码"
"Gender","性别"
"Send Welcome Email","发送欢迎邮件"
"The customer does not have default billing address.","客户没有填写缺省地址。"
"State/Province ","省份"
"The first name cannot be empty.","姓名不能为空"
"The last name cannot be empty.","姓名不能为空"
"Generate Human-Friendly Customer ID","账户确认后的默认欢迎邮件"
"Show Gender","显示性别"
